ID_Kecamatan,ID_Kelurahan,Kelurahan
KC-1,KL-1,Asemrowo
KC-1,KL-2,Genting Kalianak
KC-1,KL-3,Tambak Sarioso
KC-2,KL-4,Kandangan
KC-2,KL-5,Romokalisari
KC-2,KL-6,Sememi
KC-2,KL-7,Tambak Osowilangun
KC-3,KL-8,Alun-Alun Contong
KC-3,KL-9,Bubutan
KC-3,KL-10,Gundih
KC-3,KL-11,Jepara
KC-3,KL-12,Tembok Dukuh
KC-4,KL-13,Bulak
KC-4,KL-14,Kedungcowek
KC-4,KL-15,Kenjeran
KC-4,KL-16,Sukolilo Baru
KC-5,KL-17,Dukuh Kupang
KC-5,KL-18,Dukuh Pakis
KC-5,KL-19,Gunung Sari
KC-5,KL-20,Pradah Kalikendal
KC-6,KL-21,Dukuh Menanggal
KC-6,KL-22,Gayungan
KC-6,KL-23,Ketintang
KC-6,KL-24,Menanggal
KC-7,KL-25,Embong Kaliasin
KC-7,KL-26,Genteng
KC-7,KL-27,Kapasari
KC-7,KL-28,Ketabang
KC-7,KL-29,Peneleh
KC-8,KL-30,Airlangga
KC-8,KL-31,Barata Jaya
KC-8,KL-32,Gubeng
KC-8,KL-33,Kertajaya
KC-8,KL-34,Mojo
KC-8,KL-35,Pucangsewu
KC-9,KL-36,Gunung Anyar
KC-9,KL-37,Gunung Anyar Tambak
KC-9,KL-38,Rungkut Menanggal
KC-9,KL-39,Rungkut Tengah
KC-10,KL-40,Jambangan
KC-10,KL-41,Karah
KC-10,KL-42,Kebonsari
KC-10,KL-43,Pagesangan
KC-11,KL-44,Karang Pilang
KC-11,KL-45,Kebraon
KC-11,KL-46,Kedurus
KC-11,KL-47,Warugunung
KC-12,KL-48,Bulakbanteng
KC-12,KL-49,Tambakwedi
KC-12,KL-50,Tanah Kalikedinding
KC-12,KL-51,Sidotopo Wetan
KC-13,KL-52,Dupak
KC-13,KL-53,Kemayoran
KC-13,KL-54,Krembangan Selatan
KC-13,KL-55,Morokrembangan
KC-13,KL-56,Perak Barat
KC-14,KL-57,Bangkingan
KC-14,KL-58,Jeruk
KC-14,KL-59,Lakarsantri
KC-14,KL-60,Lidah Kulon
KC-14,KL-61,Lidah Wetan
KC-14,KL-62,Sumur Welut
KC-15,KL-63,Dukuh Sutorejo
KC-15,KL-64,Kalijudan
KC-15,KL-65,Kalisari
KC-15,KL-66,Kejawan Putih Tambak
KC-15,KL-67,Manyar Sabrangan
KC-15,KL-68,Mulyorejo
KC-16,KL-69,Bongkaran
KC-16,KL-70,Krembangan Utara
KC-16,KL-71,Nyamplungan
KC-16,KL-72,Tanjung Perak
KC-17,KL-73,Babat Jerawat
KC-17,KL-74,Benowo
KC-17,KL-75,Pakal
KC-17,KL-76,Sumberejo
KC-18,KL-77,Kali Rungkut
KC-18,KL-78,Kedung Baruk
KC-18,KL-79,Medokan Ayu
KC-18,KL-80,Penjaringan Sari
KC-18,KL-81,Rungkut Kidul
KC-18,KL-82,Wonorejo
Keterangan:,,
